Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,TotalSF,SalePrice
1,60,RL,65.0,8450,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1710,2,1,3,1,Gd,8,0,NoFP,Attchd,RFn,2.0,TA,Y,2,2008,WD,Normal,2566.0,208500
2,20,RL,80.0,9600,Pave,NOACCESS,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,Ex,Y,SBrkr,1262,2,0,3,1,TA,6,1,TA,Attchd,RFn,2.0,TA,Y,5,2007,WD,Normal,2524.0,181500
3,60,RL,68.0,11250,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,1786,2,1,3,1,Gd,6,1,TA,Attchd,RFn,2.0,TA,Y,9,2008,WD,Normal,2706.0,223500
4,70,RL,60.0,9550,Pave,NOACCESS,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,Gd,Y,SBrkr,1717,1,0,3,1,Gd,7,1,Gd,Detchd,Unf,3.0,TA,Y,2,2006,WD,Abnorml,2473.0,140000
5,60,RL,84.0,14260,Pave,NOACCESS,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,2198,2,1,4,1,Gd,9,1,TA,Attchd,RFn,3.0,TA,Y,12,2008,WD,Normal,3343.0,250000
6,50,RL,85.0,14115,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1362,1,1,1,1,TA,5,0,NoFP,Attchd,Unf,2.0,TA,Y,10,2009,WD,Normal,2158.0,143000
7,20,RL,75.0,10084,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,1694,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,2.0,TA,Y,8,2007,WD,Normal,3380.0,307000
8,60,RL,69.30579531442663,10382,Pave,NOACCESS,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,Ex,Y,SBrkr,2090,2,1,3,1,TA,7,2,TA,Attchd,RFn,2.0,TA,Y,11,2009,WD,Normal,3197.0,200000
9,50,RM,51.0,6120,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,FuseF,1774,2,0,2,2,TA,8,2,TA,Detchd,Unf,2.0,Fa,Y,4,2008,WD,Abnorml,2726.0,129900
10,190,RL,50.0,7420,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,Ex,Y,SBrkr,1077,1,0,2,2,TA,5,2,TA,Attchd,RFn,1.0,Gd,Y,1,2008,WD,Normal,2068.0,118000
11,20,RL,70.0,11200,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,SBrkr,1040,1,0,3,1,TA,5,0,NoFP,Detchd,Unf,1.0,TA,Y,2,2008,WD,Normal,2080.0,129500
12,60,RL,85.0,11924,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,2324,3,0,4,1,Ex,11,2,Gd,BuiltIn,Fin,3.0,TA,Y,7,2006,New,Partial,3499.0,345000
13,20,RL,69.30579531442663,12968,Pave,NOACCESS,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,912,1,0,2,1,TA,4,0,NoFP,Detchd,Unf,1.0,TA,Y,9,2008,WD,Normal,1824.0,144000
14,20,RL,91.0,10652,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,1494,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3.0,TA,Y,8,2007,New,Partial,2988.0,279500
15,20,RL,69.30579531442663,10920,Pave,NOACCESS,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,1253,1,1,2,1,TA,5,1,Fa,Attchd,RFn,1.0,TA,Y,5,2008,WD,Normal,2506.0,157000
16,45,RM,51.0,6120,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Ex,Y,FuseA,854,1,0,2,1,TA,5,0,NoFP,Detchd,Unf,2.0,TA,Y,7,2007,WD,Normal,1686.0,132000
17,20,RL,69.30579531442663,11241,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,1004,1,0,2,1,TA,5,1,TA,Attchd,Fin,2.0,TA,Y,3,2010,WD,Normal,2008.0,149000
18,90,RL,72.0,10791,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,TA,TA,Slab,NoBSMT,NoBSMT,NoBSMT,NoBSMT,NoBSMT,TA,Y,SBrkr,1296,2,0,2,2,TA,6,0,NoFP,CarPort,Unf,2.0,TA,Y,10,2006,WD,Normal,1296.0,90000
19,20,RL,66.0,13695,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,Ex,Y,SBrkr,1114,1,1,3,1,Gd,6,0,NoFP,Detchd,Unf,2.0,TA,Y,6,2008,WD,Normal,2228.0,159000
20,20,RL,70.0,7560,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,TA,Y,SBrkr,1339,1,0,3,1,TA,6,0,NoFP,Attchd,Unf,1.0,TA,Y,5,2009,COD,Abnorml,2368.0,139000
21,60,RL,101.0,14215,Pave,NOACCESS,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,2376,3,1,4,1,Gd,9,1,Gd,BuiltIn,RFn,3.0,TA,Y,11,2006,New,Partial,3534.0,325300
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,Ex,Y,FuseF,1108,1,0,3,1,Gd,6,1,Gd,Attchd,Unf,1.0,TA,N,6,2007,WD,Normal,1745.0,139400
23,20,RL,75.0,9742,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1795,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,2.0,TA,Y,9,2008,WD,Normal,3572.0,230000
24,120,RM,44.0,4224,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,TA,Y,SBrkr,1060,1,0,3,1,TA,6,1,TA,Attchd,Unf,2.0,TA,Y,6,2007,WD,Normal,2100.0,129900
25,20,RL,69.30579531442663,8246,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,Ex,Y,SBrkr,1060,1,0,3,1,Gd,6,1,TA,Attchd,Unf,1.0,TA,Y,5,2010,WD,Normal,2120.0,154000
26,20,RL,110.0,14230,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1600,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3.0,TA,Y,7,2009,WD,Normal,3166.0,256300
27,20,RL,60.0,7200,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,TA,Y,SBrkr,900,1,0,3,1,Gd,5,0,NoFP,Detchd,Unf,2.0,TA,Y,5,2010,WD,Normal,1800.0,134800
28,20,RL,98.0,11478,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,1704,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3.0,TA,Y,5,2010,WD,Normal,3408.0,306000
29,20,RL,47.0,16321,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,TA,Y,SBrkr,1600,1,0,2,1,TA,6,2,Gd,Attchd,RFn,1.0,TA,Y,12,2006,WD,Normal,3084.0,207500
30,30,RM,60.0,6324,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Fa,N,SBrkr,520,1,0,1,1,Fa,4,0,NoFP,Detchd,Unf,1.0,Fa,Y,5,2008,WD,Normal,1040.0,68500
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,TA,N,SBrkr,1317,1,0,3,1,TA,6,0,NoFP,Detchd,Unf,1.0,TA,N,7,2008,WD,Normal,1966.0,40000
